seq,type,date,time,location
1,汽車竊盜,1040104,22~24,台北市松山區塔悠路91~120號
2,汽車竊盜,1040119,01~03,台北市中山區新生北路二段91~120號
3,汽車竊盜,1040120,01~03,台北市文山區老泉里老泉街1~30號
4,汽車竊盜,1040120,07~09,台北市文山區木柵里木柵路三段48巷3弄1~30號
5,汽車竊盜,1040121,04~06,台北市中山區建國北路二段91~120號
6,汽車竊盜,1040121,22~24,台北市萬華區華中河濱公園
7,汽車竊盜,1040127,22~24,台北市松山區八德路三3段1~30號
8,汽車竊盜,1040129,07~09,台北市北投區一德里中央北路四段181~210號
9,汽車竊盜,1040201,16~18,台北市松山區濱江街七號水門
10,汽車竊盜,1040202,07~09,台北市內湖區樂康里康樂街261巷
11,汽車竊盜,1040210,04~06,台北市大同區鄰江里酒泉街241~270號
12,汽車竊盜,1040211,13~15,台北市士林區福佳里美崙街31~60號
13,汽車竊盜,1040211,22~24,台北市南港區新富里研究院路一段101巷誠正國中旁151~180號
14,汽車竊盜,1040212,04~06,台北市松山區健康路69巷1~30號
15,汽車竊盜,1040213,13~15,台北市大安區仁愛里敦化南路一段270巷1~30號
16,汽車竊盜,1040218,04~06,台北市松山區光復北路181~210號
17,汽車竊盜,1040219,16~18,台北市士林區後港里通河東街二段121~150號
18,汽車竊盜,1040223,10~12,台北市士林區後港里承德路五段61~90號
19,汽車竊盜,1040302,22~24,台北市萬華區萬青街151~180號
20,汽車竊盜,1040317,04~06,台北市文山區興得里興隆路三段辛亥路口
21,汽車竊盜,1040317,07~09,台北市松山區松河街241~270號
22,汽車竊盜,1040318,01~03,台北市內湖區五分里安康路93巷
23,汽車竊盜,1040320,16~18,台北市內湖區石潭里潭美街
24,汽車竊盜,1040323,01~03,台北市士林區福志里18鄰雨農路21巷1~30號
25,汽車竊盜,1040324,16~18,台北市松山區民權東路三段106巷15弄1~30號
26,汽車竊盜,1040325,10~12,台北市士林區富光里延平北路五段1巷1~30號
27,汽車竊盜,1040325,16~18,台北市中正區三愛里臨沂街61巷14弄
28,汽車竊盜,1040330,10~12,台北市南港區中南里忠孝東路七段541~570號
29,汽車竊盜,1040331,01~03,台北市南港區重陽里重陽路187巷
30,汽車竊盜,1040331,01~03,台北市南港區玉成里松河街331~360號
31,汽車竊盜,1040331,01~03,台北市南港區玉成里松河街331~360號
32,汽車竊盜,1040331,04~06,台北市南港區玉成里松河街331~360號
33,汽車竊盜,1040403,07~09,台北市南港區新光里忠孝東路七段124巷
34,汽車竊盜,1040403,22~24,台北市南港區重陽里重陽路125巷與松河街口
35,汽車竊盜,1040408,07~09,台北市大同區環河北路二段361~390號
36,汽車竊盜,1040409,07~09,台北市內湖區內湖里成功路四段181~210號
37,汽車竊盜,1040410,07~09,台北市松山區敦化北路155巷100弄
38,汽車竊盜,1040411,22~24,台北市信義區雅祥里基隆路一段37巷口
39,汽車竊盜,1040413,13~15,台北市信義區雅祥里市民大道六段松隆路123巷口
40,汽車竊盜,1040413,22~24,台北市士林區德行里中山北路五段811巷1~30號
41,汽車竊盜,1040415,04~06,台北市南港區萬福里忠孝東路六段70巷21弄1~30號
42,汽車竊盜,1040420,07~09,台北市大同區朝陽里15鄰延平北路二段61~90號
43,汽車竊盜,1040425,07~09,台北市南港區重陽里重陽路203巷口
44,汽車竊盜,1040428,13~15,台北市北投區一德里中央北路四段121~150號
45,汽車竊盜,1040428,22~24,台北市北投區桃源里中央北路三段252巷內底
46,汽車竊盜,1040430,13~15,台北市南港區玉成里松河街271~300號
47,汽車竊盜,1040509,16~18,台北市士林區社子里通河西街二段61~90號
48,汽車竊盜,1040512,07~09,台北市松山區民生東路五段36巷4弄1~30號
49,汽車竊盜,1040513,16~18,台北市信義區雅祥里基隆路一段83巷
50,汽車竊盜,1040517,10~12,台北市北投區中和里復興四路1~30號
